code,name_pt,name_en,end_use,sterile_at_import,unit_value_usd,gross_weight,net_weight;;;;;;;;;;;
27907,Avental Aberto Bordado,Embroidered Open Apron,Waterproof nylon apron to protect the user from dirt and fluids during animal procedures/veterinary use,NO,22.5,0.24,0.23;;;;;;;;;;;
31597,Incubadora de Bancada EVE H,Benchtop Incubator EVE,,NO,2400,12.91,9;;;;;;;;;;;
"29522,Sistema Prático de Aspiração para Ovinos - 5cm Maior (Embal.),Follicular aspiration system - Ovine,""Single-use hollow tube assembly with connectors, used as a consumable component in portable livestock handling equipment for collecting sheep genetic material in field conditions. For agricultural use only; not for medicinal purposes.Country of Origin: Brazil"",NO,12.5,0.045,0.04";;;;;;;;;;;
25407,Conjunto Bloco TE Transportador Série VC,Block Assembly TE Conveyor Series V,Structural component of veterinary equipment,NO,155.69,0.405,0.4;;;;;;;;;;;
"13132,""° Parafuso Inox Allen com Cabeça Cilindrica Ø1/4"""" x 3/4"""""",Allen screw with cylindrical head,Stainless steel screws for assembly and maintenance of veterinary medical equipment.,NO,0,0.0089,0.0088";;;;;;;;;;;
13263,Parafuso Inox com Cabeça Lentilha Philips M03 x 16 mm,Screw with Lentil Head M03X16mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.09,0.002,0.001;;;;;;;;;;;
13757,Parafuso ivox M03X10,Screw with Lentil Head M03X12mm,Stainless steel screws for assembly and maintenance of veterinary medical equipment.,NO,0,0.002,0.001;;;;;;;;;;;
10469, Parafuso Inox com Cabeça Lentilha Philips M03 X 10mm,Phillips Head Screw M03 x 10mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.05,0.0007,0.0007;;;;;;;;;;;
"26041,Sistema para Aspiração Folicular WTA Completo - 20G com Isolação (completo) - (Embal.),""Livestock Field Suction Set – Yellow, Insulated, Complete"",""Disposable field kit, used as a consumable accessory in animal handling operations within cattle production environments; not intended for medical use.Country of origin: Brazi"",NO,4.86,0.055,0.05";;;;;;;;;;;
19221,Fonte desktop 15V,POWER ADAPTER ,Items used for maintenance on veterinary equipment.,NO,12.7,0.32,0.315;;;;;;;;;;;
10278,Parafuso Inox com Cabeça Lentilha Philips M03 X 06mm,Phillips Head Screw M03 x 06mmM03 x 06mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.07,0.0089,0.0088;;;;;;;;;;;
31024, Parafuso para Plástico Ø3 x 6mm,Screw for Plastic Ø3 x 6mm,Stainless steel screws for assembly and maintenance of veterinary medical equipment.,NO,0,0.005,0.004;;;;;;;;;;;
22798,Alojamento Bateria,Battery Housing,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.26,0.0001,0.0001;;;;;;;;;;;
23008,Placa Eletrônica Controladora Angélica PHB,Electronic Control Board,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,15.92,0.015,0.011;;;;;;;;;;;
24692,Chicote Cabo Flat 14 Vias 28AWG Cinza,14-Wire 28AWG Gray Flat Cable Harness,Replacement part for maintenance of veterinary animal reproduction equipment,NO,0.57,0.0001,0.0001;;;;;;;;;;;
24690,Chicote Cabo Tipo Manga 3 Vias,3-Way Sleeve Type Cable Harness,Part of veterinary instrument for electrical connection,NO,0.81,0.012,0.01;;;;;;;;;;;
12146,Acabamento Plástico de Fixação do Display LCD 8 x 2,Plastic Finish for Fixing the 8 x 2 LCD Display,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.67,0.002,0.001;;;;;;;;;;;
13954,Conector Box Header 14Vias 180º S/Ejetor,14-Pin Box Header Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.14,0.002,0.001;;;;;;;;;;;
12065, Display LCD 8x2 com back-light Azul,Display with Blue back-light,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.47,0.03,0.02;;;;;;;;;;;
23011, Placa Eletrônica de Temperatura TCB 2.0.1 NW D-Comprado,TCB 2.0.1 NW Electronic Temperature Control Board,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,8.75,0.2,0.01;;;;;;;;;;;
15135,Teclado de Membrana para Descongelador,Membrane Keyboard for Defroster,Items used for maintenance on veterinary equipment.,NO,2.68,0.006,0.005;;;;;;;;;;;
"12023,""Cabo de Força Tripolar NBR14136 X IEC C14 Fêmea com 1,5m cor Preto"",Tripolar Power Cable NBR14136 X IEC C14,Items used for maintenance on veterinary equipment.,NO,1.42,0.2,0.1";;;;;;;;;;;
"33916,Sistema Prático de Aspiração 18G para Ovinos,""Livestock Field Suction Line – Non-Sterile, Single-Use"",""Single-use line w/ hollow tube set with connectors, employed as a consumable part in portable livestock breed management equipment for collection of ovine genetic material under field conditions. Non-sterile, for agricultural use only; not for medical"",NO,4.86,0.03,0.02";;;;;;;;;;;
"30517,Bloco Montado LabMix Série V,Livestock Field Mixing Base – V Series,""Assembled machine base employed to secure small vials during on-farm transport of livestock samples. Non-sterile, for agricultural use only; not for medical use."",NO,155.69,0.65,0.64";;;;;;;;;;;
"19324,Etiqueta de esterelização,Process Indicator Label – Self-Adhesive,""Self-adhesive chemical label that changes color when exposed to heat, used to confirm completion of sterilization cycles on livestock consumables. For agricultural use only; not for medical or clinical purposes."",NO,0.01,0.0012,0.001";;;;;;;;;;;
33478,Transportador Versátil de Oócitos e Embriões Série V - 2 Blocos TO/TE- Bovino-INT,Versatile Oocytes and Embryo Transporter V Series - Bovine ,Portable system for transporting veterinary embryos and oocytes. Used in veterinary reproduction procedures. New items. Country of origin: Brazil.,NO,2520,3.29,2.52;;;;;;;;;;;
31505,Transportador Versátil de Oócitos e Embriões Série V - 2 Blocos TO/TE- Bovino-INT,Versatile Oocytes and Embryo Transporter V Series - Bovine - 2 Block,Portable system for transporting veterinary embryos and oocytes. Used in veterinary reproduction procedures. New items. Country of origin: Brazil.,NO,2520,6,4.2;;;;;;;;;;;
17656,Mesa Aquecedora Padrão,Standard Heating Table,Standard heating table for working with embryos on farms.,NO,144.33,2.48,2.25;;;;;;;;;;;
"32667,Mini Filtro para Oócitos (100u),Mini Filter,""Disposable miniature polypropylene filter, with a porosity of 100 µm, used as a consumable component in portable livestock handling equipment for coarse filtration of sheep and goat genetic material under field conditions. Disposable; for veterinary use only; not intended for medical use. Country of origin: Brazil"",NO,31.68,0.12,0.1";;;;;;;;;;;
"32275,Sistema Prático de Aspiração para Ovinos - 10 mm,""Livestock Field Suction Line 10mm – Non-Sterile, Single-Use"",""Single-use line w/ hollow tube set with connectors, employed as a consumable part in portable livestock breed management equipment for collection of ovine genetic material under field conditions. Non-sterile, for agricultural use only; not for medical"",NO,4.86,0.03,0.02";;;;;;;;;;;
"21112,""Bainha para Transferência de Embriões 0,25 - Ponta Plástica - Com Camisinha Sanitaria - Bovinos"",""Embryo Transfer Sheath 0,25 Plastic (with Sanitary Chemise)"",Disposable veterinary accessory used during bovine embryo transfer procedures. Not intended for human medical use.Country of origin: Brazil,NO,1.46,0.006,0.005";;;;;;;;;;;
10392,Agulha para Aspiração Folicular 20G - Pequenos Ruminantes  (Embal.), Mandrel Tip for Small Ruminantes,Used to collect oocytes from cows ovary/Veterinary use.Country of origin: Brazil,NO,5.36,0.003,0.002;;;;;;;;;;;
"28446,Manga de Palpação M,Livestock Waterproof Palpation Sleeve -Nylon Adjustable,""Waterproof nylon sleeve employed as a reusable protective garment during manual examination of cattle and sheep in field livestock-breeding management. Adjustable neck, unisex design. Non-sterile, for agricultural use only; not for medical use.Country of origin: Brazil"",NO,36,0.165,0.16";;;;;;;;;;;
"21832 ,""Tubo Guia para Reprodução Pecuária – Rosa, "",Livestock Breeding GuideTube – Pink,Disposable guide tube used as a consumable component in livestock reproductive handling kits. Intended exclusively for agricultural and veterinary use; not suitable for injection and not intended for human medical use.Country of origin: Brazil,NO,1.58,0.003,0.002";;;;;;;;;;;
"21835 ,""Tubo Guia para Reprodução Pecuária – Amarelo, Não Estéril"",Livestock Breeding GuideTube – Yellow,Disposable guide tube used as a consumable component in livestock reproductive handling kits. Intended exclusively for agricultural and veterinary use; not suitable for injection and not intended for human medical use.Country of origin: Brazil,NO,1.58,0.003,0.002";;;;;;;;;;;
"28062,- Carregador de Bateria WTA para Pack RRC2020 - TECH,Battery Charger for Livestock Field Pack – RRC2020-TECH,battery charger employed to recharge portable warming equipment used in on-farm livestock breeding procedures. For agricultural use only; not for medical use.,NO,80,0.625,0.62";;;;;;;;;;;
"33652,""Placa de Cultura Celular de 4 Poços 3ml e 2 Poços 1,8ml Com Tampa (PCt c/ 20)"",""Livestock Sample Holding Plate – 6-Well, "",""Robust polypropylene plate with six compartments, used for temporary storage and sorting of animal samples during handling operations on farms. Designed exclusively for veterinary use; not for medical or diagnostic purposes.Country of Origin: Brazil"",NO,27.69,0.45,0.44";;;;;;;;;;;
29294,Aquecedor de Bolso - AB - Preto - Tech,Pocket heater - Black-,Portable heater for maintaining the temperature of laboratory tubes used in veterinary procedures.Country of Origin: Brazil,NO,273.6,0.5,0.4;;;;;;;;;;;
"28448,Bolsa Porta Botas,Boot bag ,""Practical bag for fieldwork with side pockets for coverall and apron, and a central compartment for boots.";;;;;;;;;;;
"Material: Nylon"",NO,5.56,0.5,0.445";;;;;;;;;;;
"25882,Sistema para Aspiração Folicular WTA Completo - 18G com Isolação (completo) - (Embal.),Complete Follicular Aspiration System With Isolation - 18G ,"" Accessory Set Pink– Field Kit";"Disposable field kit composed of metal pointed tube, plastic rod, flexible tubing and connectors, used as consumable accessories in livestock handling operations within bovine production environments. Contains no injection devices, no hollow medical needles, and is not intended for medical use.Country of Origin: Brazil"",NO,9.33,0.055,0.05";;;;;;;;;;
33550, (Em Projeto) Incubadora de Bancada EVE 2 Câmaras - 1 Funda,Benchtop Incubator EVE - 2 High Covers ,,NO,6700,0,0;;;;;;;;;;;
31524,Transportador de Oócitos Série C - Equino - Com Pack – INT,Oocyte Transporter C Series - Equine ,,NO,1850,0,0;;;;;;;;;;;
31524,Transportador de Oócitos Série C - Equino - Com Pack – INT,Oocyte Transporter C Series - Equine ,,NO,1850,0,0;;;;;;;;;;;
18029,Aquecedor de Tubo 50 - ATi,Tube Heater 50mL ,Tubular field heater for heating cattle during artificial insemination/veterinary use only.Country of Origin: Brazil,NO,450,2.4,1.48;;;;;;;;;;;
29455,Congelador de Embriões - Allice 2021 ,EMBRYOS FREEZER - Allice,,NO,2120,0,0;;;;;;;;;;;
"33576,Transportador Versátil de Oócitos e Embriões Série V - Bovino  - TECH,Portable Transporter V-Tech ,""Portable system for transporting veterinary embryos and oocytes with a temperature chamber.";;;;;;;;;;;
"Used for the safe transport and thermal preservation of bovine embryos and oocytes for veterinary reproduction procedures.Country of Origin: Brazil"",NO,2520,4.284,3.825";;;;;;;;;;;
30849,Aquecedor para Tubo de 500 ml Redondo,Round 500 mL Tube Heater – Farm,Round tube heater for cattle field AI,NO,450,1.42,1.41;;;;;;;;;;;
32405,Aquecedor para Tubo de 500 ml Quadrado Equino,Square 500 mL Tube Heater – Equine,Square tube heater for equine field AI,NO,450,1.465,1.46;;;;;;;;;;;
"32764,Bolsa para Transporte - Labmix ,Livestock Carrying Bag – Field Kit,""nylon bag with zipper and handles, designed to store and transport portable livestock breeding management accessories in field conditions. For agricultural use only; not for medical or laboratory use."",NO,11.62,0.3,0.25";;;;;;;;;;;
"30577, Fita Adesiva 72mmX100mm  Personalizada WTA Tech,Custom Printed Packaging Tape – 72 mm × 100 m,""Printed PVC adhesive tape bearing company logo, used for sealing cartons of livestock-breeding supplies. For packaging purposes only; not for medical use.Country of Origin: Brazil"",NO,4.95,0.256,0.255";;;;;;;;;;;
"26146,""Conjunto Bloco TO Transportador Série V - Microtubo  WTA 1,2ml"",Block Assembly TO Conveyor Series V – WTA Microtube 1.2ml,Structural component of veterinary equipment,NO,49.93,1.015,1";;;;;;;;;;;
15064,Placa de Interface 3.0.1 para Mikro MMB Acabada,Interface Board 3.0.1 for Mikro MMB – Finished,Electronic control of veterinary instrument,NO,56.21,0.15,0.1;;;;;;;;;;;
22615,Tampão Macho com Rosca M5,Male Plug with M5 Thread,Veterinary instrument seal,NO,0.66,0.25,0.15;;;;;;;;;;;
23013,Placa Eletrônica Controladora TCB 4.0.1,Electronic Controller Board TCB 4.0.1,Electronic control of veterinary instrument,NO,52.53,0.0012,0.001;;;;;;;;;;;
19314,Proteção do Cabo da Mesa Injetado,Injected Cable Protection for Table,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.48,0.007,0.005;;;;;;;;;;;
"33685,Tampa montada Transportador,Assembled Conveyor Cap,""";;;;;;;;;;;
"Part of veterinary equipment transport system"",NO,2.32,0.085,0.08";;;;;;;;;;;
26289,Kit para Guia de Aspiração Universal,Universal Aspiration Guide Kit,Veterinary functional exploratory examination device,NO,14.61,0.0075,0.007;;;;;;;;;;;
30396,Anel de Silicone para Tampa EVE,Silicone Ring for EVE Cap,Veterinary equipment sealing,NO,1.43,0.015,0.01;;;;;;;;;;;
24044, Cooler 12V  80x80x15mm,Cooler 12V 80x80x15mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.05,0.0002,0.0002;;;;;;;;;;;
24511, Fechamento Inferior da Mesa Aquecedora SMZ NEW,Bottom Cover for SMZ NEW Heating Table,Replacement part for maintenance of veterinary animal reproduction equipment.                                                  ,NO,1.99,0.025,0.02;;;;;;;;;;;
10707,Rebite Com Rosca M3 Cabeça Fina Corpo Recartilhado,Threaded Insert Rivet M3 Thin Head Knurled Body,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.03,0.0006,0.0006;;;;;;;;;;;
14120,Conexão de Plástico Fêmea Painel PMC1603,Female Plastic Panel Connector PMC1603,Pneumatic/hydraulic connection of veterinary equipment,NO,26.04,0.01,0.009;;;;;;;;;;;
30529,Arruela de Pressão M3,Pressure Washer M3,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.02,0.04,0.035;;;;;;;;;;;
32013,Proteção Canto Modelo Liso,Smooth Corner Protector,Veterinary instrument protection,NO,0.11,0.015,0.01;;;;;;;;;;;
10535,Porca Sextavada de Inox C/ Trava Nylock M3,M3 Lock Washer,Fastening for Veterinary Equipment,NO,0.02,0.002,0.001;;;;;;;;;;;
14121,Conexão de Plástico Macho Cotovelo PMCD2304,Male Plastic Elbow Connector PMCD2304,Pneumatic/Hydraulic Connection for Veterinary Equipment,NO,24.72,0.06,0.04;;;;;;;;;;;
23257,Display TFT 4.3'' PROCULUS ,TFT Display 4.3'' PROCULUS,Veterinary Exploratory Examination Equipment Interface,NO,124.57,0.12,0.1;;;;;;;;;;;
30065,Teclado de Membrana WTA Aquecedor de bolso,Membrane Keypad WTA Pocket Heater,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,5.37,0.004,0.003;;;;;;;;;;;
16992, Teclado de  Membrana do Módulo Aquecedor Slim c,Membrane Keypad for Slim Heater Module with,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.69,0.02,0.015;;;;;;;;;;;
"13767,"" Parafuso Soberbo Auto Atarraxante com Cabeça philips 2,5 x 16mm"",Self-Tapping Screw with Phillips Head 2.2 x 16 mm,Stainless steel screws for assembly and maintenance of veterinary medical equipment.,NO,0.01,0.004,0.003";;;;;;;;;;;
"23197,""Parafuso Soberbo Auto Atarraxante com Cabeça Philips 2,2 x 9,5 mm"",Self-Tapping Screw with Phillips Head 2.2 x 9.5 mm,Stainless steel screws for assembly and maintenance of veterinary medical equipment.,NO,0.03,0.0005,0.0003";;;;;;;;;;;
10275,Interruptor  Unip C/ Lamp. 12V,Unip Switch w/Lamp. 12V,Veterinary instrument electrical control,NO,3.45,0.0001,0.0001;;;;;;;;;;;
21267, Mesa Aquecedora para Lupa  - Modelo Universal - Estendida,Extended Universal Heating Stage,Used in laboratory to Keep Tubes Warm/Veterinary use.,NO,940,1.8,1.265;;;;;;;;;;;
21977,Mesa Aquecedora para Lupa - Modelo SMZ 645,Heating Stage – SMZ 645 ,Used in laboratory to Keep Tubes Warm/veterinary  use only ,NO,500,1.2,0.47;;;;;;;;;;;
17841, Descongelador WTA de Sêmen e Embriões  - DSM ,Semen and Embryo Thaw Unit - Black,Used to defrost bovine embryos and sêmen/veterinary  use only ,NO,88,0.95,0.575;;;;;;;;;;;
33723, Fluxo Laminar para FIV,Laminar Flow Gabinet,Used in veterinary laboratory for environmental control/Veterinary use only.,NO,2000,77.5,76;;;;;;;;;;;
32505,- Base Modular Fluxo Laminar ,Laminar Flow Modular Base,Used in veterinary laboratory for environmental control/Veterinary use only.,NO,1000,12.5,12;;;;;;;;;;;
32819, Fonte Descongelador -  AC/DC Power Adapter 12V 3A 36W,POWER ADAPTER ,Universal power supply for veterinary/laboratory devices,NO,15.9,0.165,0.16;;;;;;;;;;;
"21568,Guia da Agulha Adaptador Mandril Leve com Furo 18G,Light Mandrel Adapter Needle Guide with Hole 18G-BR,""Reusable needle guide for use in aspiration guides, veterinary accessory for oocyte aspirationCountry of origin: Brazil"",NO,12,0.09,0.07";;;;;;;;;;;
26166,Guia da Agulha 12G Adaptador Sistema Equino,12G Needle Guide-Equino-BR,Veterinary functional exploratory examination device,NO,12.09,0.006,0.005;;;;;;;;;;;
27997,Manga de Palpação - lado direito M,Palpation Sleeve - Right Side - Size M -BR,Waterproof nylon palpation sleeve that provides veterinarians with comfort during work and ease of cleaning.,NO,6.94,0.165,0.16;;;;;;;;;;;
28116,Manga de Palpação - Lado Direito - Tamnho G,Palpation Sleeve - Right Side - Size G ,Waterproof nylon palpation sleeve that provides veterinarians with comfort during work and ease of cleaning.Country of Origin: Brazil (BR),NO,36.5,0.185,0.18;;;;;;;;;;;
"28448,Bolsa Porta Botas,Boot bag -BR,""Practical bag for fieldwork with side pockets for coverall and apron, and a central compartment for boots.";;;;;;;;;;;
"Material: Nylon"",NO,5.56,0.003,0.002";;;;;;;;;;;
30799,Avental Fechado Bordado - Rosa,Embroidered closed Apron -Pink-BR,,NO,0,0,0;;;;;;;;;;;
30798,Avental Aberto Bordado -Rosa,Embroidered Open Apron -Pink -BR,,NO,0,0,0;;;;;;;;;;;
14293,Ponta do Mandril Via Simples C/ Tubo - 18G,Single-ended chuck tip with 18G tube,Accessories for veterinary surgical instruments/Veterinary use.,NO,18.57,0.003,0.002;;;;;;;;;;;
"32260,Placa de Cultura Celular 12 Poços WTA,12-Well Culture Dish -BR,""Plastic labware (non-electric, other articles of plastics-Veterinary use."",NO,0.95,0.034,0.028";;;;;;;;;;;
"32756,""Inovulador para Embriões 0,50 - Trava Automatica de Aluminio  - Azul"",""ET Gun 0,50 - Automatic Aluminum Lock - Blue"",Used to inseminate sêmen into cow/Veterinary use.,NO,48,0.07,0.05";;;;;;;;;;;
25480, Descongelador  de Sêmen e Embriões  - DSM (Rosa), Thaw Unit Pink,Veterinary semen and embryo thawing unit with digital temperature control for bovine reproduction procedures.Country of Origin: Brazil,NO,88,1.35,1.05;;;;;;;;;;;
30524, Platina Aquecedora para Sêmen e Andrologia,Warming Platinum for Semen and Andrology,Heating table for working with embryos on farms,NO,400,1.05,1;;;;;;;;;;;
31671,Aplicador de Sêmen com Trava Automática de Alumínio para Novilhas - Azul,Universal Semen Applicator Heifers with Automatic Blue,Used to inseminate sêmen into Heifers/Veterinary use,NO,45,0.075,0.05;;;;;;;;;;;
26038, Filtro para Oócitos e Embriões W25 ,Collector Filter for Oocytes and Embryos W25 ,Filtering/Separation of liquids (precision filter use)/Veterinary use Country of Origin: Brazil,NO,7.13,0.04,0.035;;;;;;;;;;;
14680,Pipeta para Inseminação Artificial  - Equinos,Pipette for Artificial Insemination - Equines ,Used for insemination in equinos/Veterinary use. Country of origin: Brazil,NO,2.38,0.015,0.013;;;;;;;;;;;
27810,Camisinha Sanitária para Transferência de Embriões,Sanitary Chemise for Embryo Transfer ,Used in Ovuum Pick-up for protection/Veterinary use.Country of Origin: Brazil,NO,9,0.095,0.09;;;;;;;;;;;
22826,Cortador de palheta - Branco,Straw Cutter - White ,Veterinary equipment used to adjust plastic straws used in procedures such as artificial insemination/ Veterinary use.Country of Origin: Brazil ,NO,7.92,0.03,0.025;;;;;;;;;;;
"10481,""Lacrador 0,25 Laranja (Embal)"",Straw Sealing Plug 0.25 - Orange ,Used for embryo development/Veterinary use,NO,0.21,0.0003,0.0002";;;;;;;;;;;
"10460,"" Lacrador de Palheta -  0,50 -  Branco (Embal)"",Straw Sealing Plug 0.50 - White ,Used for embryo development/Veterinary use,NO,0.14,0.0006,0.0005";;;;;;;;;;;
"10463,"" Lacrador de Palheta -  0,50 -  Roxo (Embal)"",Straw Sealing Plug 0.50 - Purple ,Used for embryo development/Veterinary use,NO,0.14,0.0006,0.0005";;;;;;;;;;;
"10055,""Lacrador de Palheta -  0,50 -  Verde (Embal)"",Straw Sealing Plug 0.50 - Green ,Used for embryo development/Veterinary use,NO,0.14,0.0006,0.0005";;;;;;;;;;;
"10462,"" Lacrador de Palheta - 0,50 - Laranja (Embal)"",Straw Sealing Plug 0.50 - Orange ,Used for embryo development/Veterinary use,NO,0.14,0.0006,0.0005";;;;;;;;;;;
28308,Aplicador de Sêmen Universal com Trava Automática de Alumínio - Azul,Universal Semen Applicator with Aluminum Automatic Lock - Blue ,Used to inseminate sêmen into cows/Veterinary use.Country of Origin: Brazil,NO,61.2,0.075,0.05;;;;;;;;;;;
28246,Aplicador de Sêmen Universal com Trava Automática de Alumínio - Verde,Universal Semen Applicator with Aluminum Automatic Lock - Green ,Used to inseminate sêmen into cows/Veterinary use.Country of Origin: Brazil,NO,45,0.075,0.05;;;;;;;;;;;
"32752,""Inovulador para Embriões 0,25 - - Trava Automatica de Aluminio  - Azul"",ET Gun 0.25 - Automatic Aluminum Lock - Blue ,Used to inseminate sêmen into cow/Veterinary use.,NO,48,0.06,0.04";;;;;;;;;;;
"18957,"" Inovulador para Embriões 0,50 - Trava Automática de Plástico - Verde"",ET Gun 0.50 - Automatic Plastic Lock - Green ,Used to inseminate sêmen into cow/Veterinary use.,NO,28,0.07,0.05";;;;;;;;;;;
"18956,""Inovulador para Embriões 0,50 - Trava Automática de Plástico - Preto"",ET Gun 0.50 - Automatic Plastic Lock - Black ,Used to inseminate sêmen into cow/Veterinary use.,NO,28,0.075,0.045";;;;;;;;;;;
30802,Aplicador para IA em Caprinos,Applicator for AI in Goats,Used insemination in goats/Veterinary use ,NO,76.94,0.45,0.43;;;;;;;;;;;
30559,Bainha IA em Caprinos,AI Sheath in Goats,Used insemination in goats/Veterinary use ,NO,0.3,0.0009,0.0006;;;;;;;;;;;
29900,Agulha para transferência de Embriões em Marmoset -Sagui,Needle for embryo transfer in Marmosets,Hollow needles for medical/Veterinary use,NO,10,0.0015,0.0014;;;;;;;;;;;
26357,Etiqueta adesiva,Adhesive label,Custom adhesive labels with company logo for packaging-Plastic,NO,0.09,0.0002,0.0001;;;;;;;;;;;
33218,Descongelador TECH de Sêmen e Embriões - Personalizado,Semen and Embryo Thaw Unit - Blue ,Used to defrost bovine embryos and sêmen/Veterinary use.,NO,88,1.35,1.05;;;;;;;;;;;
30117,Guia de aspiração C11-3S,Follicular Aspiration Guide  C11-3s,Used to collect oocytes from cows,NO,2100,2.51,1.1;;;;;;;;;;;
30999,Cabo Veicular com Plug Acendedor 12v para P4,Car plug 12v para P4 - 2 metros,Item used by veterinarians to collect oocytes/Veterinary use,NO,5.5,0.06,0.04;;;;;;;;;;;
"28804,""Aplicador de Sêmen 0,25 para Novilha com Trava Automática de Plástico - Azulaplicadr"",Universal Semen Applicator Heifers with Automatic Plastic Lock - Blue,Used to inseminate sêmen into Novilhas/Veterinary use.,NO,30,0.06,0.035";;;;;;;;;;;
29250,Cortador de palheta - Azul,Straw Cutter Blue-,Veterinary equipment used to adjust plastic straws used in procedures such as artificial insemination/ Veterinary use.Country of Origin: Brazil ,NO,7.92,0.03,0.025;;;;;;;;;;;
29249,Cortador de palheta - Rosa ,Straw Cutter Pink,Veterinary equipment used to adjust plastic straws used in procedures such as artificial insemination/ Veterinary use.Country of Origin: Brazil ,NO,7.92,0.03,0.025;;;;;;;;;;;
32361,Case Universal para Guias de Aspiração,Case para guías de aspiração,Used to transport products used in Artificial Insemination / Veterinary use,NO,70.57,1.2,1;;;;;;;;;;;
15362,Ponta do Mandril Dupla Via (Acabado) 18G,18G Double Way Chuck Tip (Finished) ,Accessories for veterinary surgical instruments-VETERINATY USE ONLY,NO,122,0.006,0.004;;;;;;;;;;;
31036,Bolsa para Transporte - Bomba de Vácuo,Transport Bag - Vacuum Pump,Used to transport vacuum pump-veterinary use only(NYLON).Country of origin: Brazil,NO,50.4,1.41,1.4;;;;;;;;;;;
29267,Guia de Aspiração  65EC10ED Novilha,Follicular Aspiration Guide 65EC10ED,Used to collect oocytes from cows -VETERINARY USE ONLY,NO,2100,1.975,1.9;;;;;;;;;;;
"31518, - Agulha de Equino Duplo Fluxo 16G  - (Embal),Equine Double-Flow Follicular Aspiration System 16 ,Disposable guide tube used as a consumable component in equine reproductive management kits. Intended exclusively for agricultural and veterinary use; not suitable for injection and not intended for human medical use. Country of origin: Brazil,NO,20,0.03,0.025";;;;;;;;;;;
"22029,""Bainha para Transferência de Embriões 0,50 - Ponta Plástica com Camisinha Sanitária - Equinos y Chemise)"",Embryo Transfer Sheath 0.50  - Equines (with Sanitary Chemise),""Veterinary instruments, disposable sheath-VETERINARY USE ONLY"",NO,3.2,0.015,0.01";;;;;;;;;;;
21571,Adaptador para Mandril Leve,Livestock Instrument Adapter – Light-Duty,Adapter used as a consumable interface in portable animal husbandry equipment.Veterinary use. Country of origin: Brazil,NO,67,0.035,0.03;;;;;;;;;;;
25113,Descongelador TECH de Sêmen e Embriões com Bateria - DSM (Rosa),SEMEN AND EMBRYOS THAW-Pink-B,Used to defrost bovine embryos and sêmen,NO,350,1.55,1.25;;;;;;;;;;;
19219,Luva para palpação M,Gloves for Palpation - Size   M– Box of 100,Used to perform palpation exams on animais/Veterinary use.Country of origin: Brazil,NO,18,0.975,0.97;;;;;;;;;;;
21880,Sistema Prático de Aspiração Equino Duplo Fluxo Mandril 8mm Agulha 12G,Equine Dual-Flow Suction System 8 mm / 12G,Used to collect oocytes from sheep/veterinary  use only .Country of Origin: Brazil,NO,37,0.052,0.0515;;;;;;;;;;;
"22331,""Bainha para Transferência de Embriões 0,25 - Ponta de Inox - com Camisinha Sanitária - Equinos "",Embryo Transfer Sheath 0.25 - Tip - Equines (with Sanitary Chemise) ,Used inseminate Embryo in cows/Veterinary use. Country of origin: Brazil,NO,2.77,0.02,0.015";;;;;;;;;;;
28308,Aplicador de Sêmen Universal com Trava Automática de Alumínio - Azul,Universal Semen Applicator with Automatic Lock -Blue,Used to inseminate sêmen into cows/Veterinary use.Country of Origin: Brazil,NO,61.2,0.075,0.05;;;;;;;;;;;
30073,Guia de Aspiração Mista Mandril 8mm Draminski MC9-4,Follicular Aspiration Guide MC9-4;;;;;;;;;;;,Used to collect oocytes from cows/Veterinary use,NO,2100,1.25,1.21
"15972,""Inovulador para Embriões 0,50 - Trava Automatica de Aluminio  - Vermelho"",""TRANSFER GUNS FOR ET 0,50 Automatic Lock red "",Used to inseminate semen into cow/Veterinary use.Country of Origin: Brazil,NO,82.8,0.07,0.05";;;;;;;;;;;
32357,Case Universal para Descongeladores (Personalizado),I.A Storage Box,USED TO TRANSPORT AI PRODUCTOS,NO,0,1.75,1.7;;;;;;;;;;;
32347,Case Universal para Descongeladores,Universal Case for Thaw Unit,Used to transport products used in Artificial Insemination / Veterinary use.Country of Origin: Brazil,NO,144,1.75,1.7;;;;;;;;;;;
29254,Cortador de palheta -  Vermelho,Straw Cutter - Red,Veterinary equipment used to adjust plastic straws used in procedures such as artificial insemination/ Veterinary use.Country of Origin: Brazil ,NO,7.92,0.03,0.025;;;;;;;;;;;
